name,slug,website,careers_url,ats,ats_slug,area,lat,lng,industry,stage,headcount_band
eQ Technologic,eq-technologic,https://www.eqtechnologic.com,https://www.eqtechnologic.com/careers/,,,Baner,18.5642,73.7769,Enterprise Data Integration,late,200-500
Sarvatra Technologies,sarvatra,https://www.sarvatra.in,https://www.sarvatra.in/careers,,,Shivajinagar,18.5308,73.8470,FinTech / Payments,growth,200-500
Tekion,tekion,https://tekion.com,https://tekion.com/careers,ashby,tekion,Bavdhan,18.5150,73.7700,SaaS / Automotive Retail,late,1000+
SEDEMAC Mechatronics,sedemac,https://www.sedemac.com,https://www.sedemac.com/careers,,,Talawade,18.6650,73.7800,DeepTech / Mechatronics,late,500-1000
Tork Motors,tork-motors,https://www.torkmotors.com,https://www.torkmotors.com/careers,,,Chakan,18.7600,73.8600,Electric Vehicles,growth,200-500
Kinetic Green,kinetic-green,https://kineticgreen.com,https://kineticgreen.com/careers,,,Chinchwad,18.6298,73.7997,Electric Vehicles,growth,500-1000
Vayve Mobility,vayve,https://vayve.in,https://vayve.in/careers,,,Hinjawadi,18.5913,73.7389,Electric Vehicles,seed,50-200
Rebel Foods,rebel-foods,https://www.rebelfoods.com,https://www.rebelfoods.com/careers,smartrecruiters,rebelfoods,Kalyani Nagar,18.5480,73.9030,Food Tech,late,1000+
Peppermint Robotics,peppermint,https://peppermintrobots.com,https://peppermintrobots.com/careers,,,Hinjawadi,18.5913,73.7389,Robotics,seed,50-200
Mylab Discovery Solutions,mylab,https://www.mylabglobal.com,https://www.mylabglobal.com/careers,,,Lohegaon,18.5800,73.9800,Diagnostics / BioTech,growth,200-500
Gennova Biopharmaceuticals,gennova,https://www.gennova.bio,https://www.gennova.bio/careers,,,Hinjawadi,18.5913,73.7389,BioTech,growth,500-1000
Sagar Defence Engineering,sagar-defence,https://sagardefence.com,https://sagardefence.com/careers,,,Pimpri,18.6298,73.7997,DefenceTech / Marine Robotics,seed,50-200
Amura Marketing,amura,https://www.amuratech.com,https://www.amuratech.com/careers,,,Baner,18.5642,73.7769,MarTech,growth,200-500
Nexzu Mobility,nexzu,https://nexzumobility.com,https://nexzumobility.com/careers,,,Pimpri,18.6298,73.7997,Electric Vehicles,growth,50-200
Sun Mobility,sun-mobility,https://www.sunmobility.co.in,https://www.sunmobility.co.in/careers,,,Chakan,18.7600,73.8600,Energy / EV Infrastructure,growth,200-500
BrowserStack,browserstack,https://www.browserstack.com,https://www.browserstack.com/careers,workday,browserstack.wd3.myworkdayjobs.com/External,Kharadi,18.5515,73.9470,DevTools,late,1000+
Nutanix,nutanix,https://www.nutanix.com,https://www.nutanix.com/company/careers,,,Hinjawadi,18.5913,73.7389,Cloud Infrastructure,public,1000+
Cohesity,cohesity,https://www.cohesity.com,https://www.cohesity.com/company/careers/,,,Baner,18.5642,73.7769,Data Management,late,1000+
Rubrik,rubrik,https://www.rubrik.com,https://www.rubrik.com/company/careers,greenhouse,rubrik,Hinjawadi,18.5913,73.7389,Data Security,public,1000+
Zscaler,zscaler,https://www.zscaler.com,https://www.zscaler.com/careers,greenhouse,zscaler,Hinjawadi,18.5913,73.7389,Cybersecurity,public,1000+
Veeva Systems,veeva,https://www.veeva.com,https://careers.veeva.com,,,Kharadi,18.5515,73.9470,Life Sciences SaaS,public,1000+
Blue Yonder,blue-yonder,https://blueyonder.com,https://blueyonder.com/careers,,,Hinjawadi,18.5913,73.7389,Supply Chain SaaS,late,1000+
Emerson Automation,emerson,https://www.emerson.com,https://hr.emerson.com/en-us/careers,,,Hinjawadi,18.5913,73.7389,Industrial Automation,public,1000+
